time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/clip_range,train/explained_variance,train/loss,eval/mean_reward,eval/mean_ep_length
115,7036928,155,117.15,-10.325749999999998,6071,0.336517333984375,0.03595887,-0.015993264394637663,0.0003,2.300992692820728,3432,-1.6570364041253924,0.2,0.4632715582847595,0.9456191658973694,,
,7044848,,,,,0.3221435546875,0.03732438,-0.019220774083805736,0.0003,2.371302926912904,3436,-1.588261022232473,0.2,0.5648058652877808,0.6607616543769836,-16.16,160.0
116,7045120,154,128.05,-11.993850000000002,6140,,,,,,,,,,,,
117,7053312,154,130.86,-12.26146,6189,0.316162109375,0.034182876,-0.01722884822447668,0.0003,2.2342281877063215,3440,-1.5569638088345528,0.2,0.567084401845932,0.8151986598968506,,
118,7061504,154,130.65,-12.54175,6247,0.336181640625,0.037778266,-0.01577789874500013,0.0003,2.608658595941961,3444,-1.6349215423688293,0.2,0.4778638482093811,0.9792933464050293,,
119,7069696,154,122.78,-10.581479999999999,6296,0.348297119140625,0.039480805,-0.020236159936757758,0.0003,2.2684232173487544,3448,-1.658811484463513,0.2,0.5398604869842529,0.865704357624054,,
120,7077888,154,125.68,-11.515180000000003,6354,0.34130859375,0.03618629,-0.01700218188125291,0.0003,2.2739524161443114,3452,-1.648506018333137,0.2,0.5904061794281006,0.9116606712341309,,
121,7086080,154,122.38,-11.241879999999998,6405,0.324737548828125,0.03601914,-0.019494397256494267,0.0003,2.628460668027401,3456,-1.634953610599041,0.2,0.5251653492450714,1.36882483959198,,
122,7094272,154,131.11,-13.01661,6456,0.3294677734375,0.03389763,-0.017449904269597027,0.0003,2.1839141082018614,3460,-1.6097393287345767,0.2,0.4648083448410034,0.9619722366333008,,
,7094848,,,,,0.32769775390625,0.03798145,-0.01824177119851811,0.0003,2.2160224318504333,3464,-1.6325048934668303,0.2,0.5252479612827301,0.7815581560134888,-17.517999999999997,160.0
123,7102464,154,130.96,-12.622660000000002,6524,,,,,,,,,,,,
