time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/n_updates,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/value_loss,train/explained_variance,train/loss
20992,2285,9,0.28790000000000004,9.22,41,160,0.2,-1.9077416509389877,-0.0006383447325788438,0.00047768513,0.0,0.0003,4.493827283382416,0.4148218631744385,2.203172206878662
21504,2338,9,0.09240000000000005,11.12,42,164,0.2,-1.8829833418130875,-0.0006604024092666805,0.0009970805,0.0,0.0003,5.353199064731598,0.16213589906692505,2.4136228561401367
22016,2395,9,0.29620000000000024,9.16,43,168,0.2,-1.8657573014497757,-0.002619005390442908,0.0009743889,0.0,0.0003,2.9675259590148926,0.5433743894100189,1.2065335512161255
22528,2447,9,0.34739999999999993,9.72,44,172,0.2,-1.854969710111618,1.387065276503563e-05,0.0006230348,0.0,0.0003,8.016270816326141,0.14650654792785645,4.073353290557861
23040,2503,9,-0.05754999999999997,9.31,45,176,0.2,-1.853890985250473,-0.000648318906314671,0.00035939564,0.0,0.0003,3.387513607740402,0.5583596527576447,1.785640835762024
23552,2557,9,0.04479999999999993,9.44,46,180,0.2,-1.8472174406051636,-0.0006149894325062633,0.00072111795,0.0,0.0003,3.500978246331215,-0.07803988456726074,1.449440598487854
24064,2612,9,0.26365,9.47,47,184,0.2,-1.840016320347786,-0.0022769045317545533,0.00083181134,0.0,0.0003,4.962491095066071,0.4510580897331238,2.0216636657714844
24576,2669,9,0.42919999999999997,8.96,48,188,0.2,-1.8278268873691559,-0.0018315173801966012,0.0010199999,0.0,0.0003,7.410842955112457,0.3742273449897766,3.624544858932495
25088,2722,9,0.49805,9.39,49,192,0.2,-1.8109723180532455,-0.0017818327760323882,0.00082103175,0.0,0.0003,7.271937310695648,0.2362847924232483,2.610684394836426
25600,2775,9,0.03929999999999996,10.54,50,196,0.2,-1.7994794845581055,-0.0009167551761493087,0.00042169786,0.0,0.0003,4.4754800498485565,0.46917635202407837,2.2986841201782227
26112,2827,9,0.16390000000000002,10.42,51,200,0.2,-1.794225960969925,-0.001957123866304755,0.0005873181,0.0,0.0003,5.2602866888046265,0.2177637815475464,2.9056501388549805
26624,2879,9,0.12565,11.87,52,204,0.2,-1.7918547242879868,-0.0006125270156189799,0.0008346285,0.0,0.0003,6.699404776096344,0.31972694396972656,2.883030891418457
27136,2932,9,-0.012000000000000042,13.2,53,208,0.2,-1.7790637016296387,-0.0006085742497816682,0.00039624574,0.0,0.0003,7.829438149929047,-0.02715611457824707,3.5685153007507324
27648,2988,9,-0.17535000000000006,10.47,54,212,0.2,-1.7715656459331512,-0.001992566161789,0.0010344869,0.0,0.0003,4.171706736087799,0.2641967535018921,2.6469149589538574
28160,3047,9,-0.30800000000000005,12.8,55,216,0.2,-1.7635606825351715,-0.0010921834327746183,0.0009063926,0.0,0.0003,3.3587301671504974,0.3575207591056824,1.8315105438232422
28672,3105,9,-0.21910000000000016,13.02,56,220,0.2,-1.7627515345811844,0.0009609576081857085,0.0004610751,0.0,0.0003,5.002374172210693,0.3803207278251648,2.3528857231140137
29184,3158,9,0.15839999999999993,11.52,57,224,0.2,-1.769116759300232,-0.0003987296367995441,0.0001754997,0.0,0.0003,5.329074740409851,0.4111102819442749,2.793583869934082
