time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/entropy_loss,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,eval/mean_ep_length,eval/mean_reward
228,34,70.63,-3.0744,1219,786432,0.256500244140625,-1.499032886698842,0.024917316,0.0003,380,2.1942376322112978,0.6640459895133972,0.2,-0.005235249722318258,1.0624853372573853,,
,,,,,787904,0.244842529296875,-1.5469510238617659,0.023444735,0.0003,384,1.622818797826767,0.6382815539836884,0.2,-0.007303613423573552,0.5728091597557068,41.0,2.5060000000000002
228,35,71.54,-3.6030999999999995,1256,794624,,,,,,,,,,,,
228,36,67.62,-2.5559,1288,802816,0.235992431640625,-1.5620560599491,0.023561954,0.0003,388,1.2614395134150982,0.6702478229999542,0.2,-0.008175373292033328,0.4217912554740906,,
,,,,,807904,0.2462158203125,-1.6203149892389774,0.023029022,0.0003,392,1.7366956053301692,0.6182670593261719,0.2,-0.00906602439499693,0.49985212087631226,80.2,-5.7219999999999995
228,37,69.09,-2.9292000000000002,1328,811008,,,,,,,,,,,,
228,38,75.62,-4.336799999999999,1360,819200,0.22637939453125,-1.4991332860663533,0.022645906,0.0003,396,1.5767374774441123,0.718765527009964,0.2,-0.009189161897666054,0.44098466634750366,,
229,39,69.38,-3.0790999999999995,1391,827392,0.255096435546875,-1.5931550338864326,0.02303549,0.0003,400,1.1991218458861113,0.6583212614059448,0.2,-0.006568945882463595,0.33167764544487,,
,,,,,827904,0.2249755859375,-1.4957421021535993,0.020431414,0.0003,404,1.4258558042347431,0.7411328554153442,0.2,-0.007103453070158139,0.6842789649963379,100.0,-10.0
228,40,67.18,-2.403,1431,835584,,,,,,,,,,,,
229,41,62.38,-1.4864000000000002,1463,843776,0.2308349609375,-1.5873633921146393,0.02034149,0.0003,408,1.838846321683377,0.6102376282215118,0.2,-0.009585633939423133,0.5684401392936707,,
