time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/loss,train/clip_range,train/approx_kl,train/n_updates
36,2007,294912,146,-5.5215,88.74,0.031829833984375,0.0003,-0.0003786268462135922,6.148642895743251,0.0,-1.895853890106082,2.983604907989502,0.2,0.0074225026,140
37,2066,303104,146,-5.5561,91.46,0.115020751953125,0.0003,-0.005272007856547134,7.234095819294453,0.0,-1.8650427237153053,4.04265832901001,0.2,0.011712248,144
38,2119,311296,146,-5.752300000000002,90.17,0.0240478515625,0.0003,-0.0005798882557428442,7.241171736270189,-1.1920929e-07,-1.8546165199950337,3.4873666763305664,0.2,0.008799657,148
39,2172,319488,147,-5.728199999999999,89.92,0.01019287109375,0.0003,-5.988869452266954e-05,7.501313503831625,-1.1920929e-07,-1.8429987216368318,2.8098642826080322,0.2,0.0038055726,152
40,2233,327680,146,-4.7754,87.84,0.06707763671875,0.0003,-0.0017949888024304528,7.390333913266659,5.9604645e-08,-1.8412971263751388,3.1160552501678467,0.2,0.005106942,156
41,2285,335872,146,-6.089300000000001,90.86,0.047454833984375,0.0003,-0.0021589808820863254,8.466467529535294,0.0,-1.8726156679913402,3.6675779819488525,0.2,0.009250026,160
42,2347,344064,146,-5.1572000000000005,87.0,0.04766845703125,0.0003,-0.002135471037036041,5.893071750178933,-1.1920929e-07,-1.8384188329800963,3.708709239959717,0.2,0.0072374977,164
43,2400,352256,146,-5.7764999999999995,91.02,0.01971435546875,0.0003,0.00011761530549847521,7.253052873536944,5.9604645e-08,-1.8292397893965244,4.090978622436523,0.2,0.0054578157,168
44,2460,360448,146,-6.0653999999999995,91.82,0.022674560546875,0.0003,-0.00035704526453628205,7.492186177521944,5.9604645e-08,-1.8119490761309862,3.372903347015381,0.2,0.0073709795,172
45,2512,368640,146,-6.2604,91.72,0.0345458984375,0.0003,-0.001946238258824451,7.662193186581135,0.0,-1.793740114197135,4.276979923248291,0.2,0.00707661,176
46,2567,376832,146,-4.9942,85.64,0.0291748046875,0.0003,9.981188486563042e-05,5.85894038900733,5.9604645e-08,-1.7862364882603288,2.3885061740875244,0.2,0.006867618,180
47,2634,385024,146,-3.5001000000000007,80.92,0.037384033203125,0.0003,-0.000919028705538949,7.747278571128845,0.0,-1.7990042055025697,2.9432711601257324,0.2,0.00969825,184
48,2692,393216,146,-5.262099999999999,88.34,0.0723876953125,0.0003,-0.0030389992534765042,9.805815771222115,0.0,-1.7676712172105908,4.923243522644043,0.2,0.010181332,188
