rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/explained_variance,train/loss,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
102.48,124,1644,-4.93226,3189344,50,0.7331878244876862,0.677734375,1848,1.8795838532969356,0.2,-0.016336114389559953,0.03586245,0.28228759765625,-1.2145522311329842,0.0003,,
114.12,124,1674,-7.328639999999999,3193440,51,0.6923384368419647,0.3978467881679535,1852,1.7566284788772464,0.2,-0.01818849434494041,0.04889638,0.32196044921875,-1.291469132527709,0.0003,,
104.36,124,1707,-5.43852,3197536,52,0.7088550329208374,0.6766390800476074,1856,2.050577376037836,0.2,-0.01508402060426306,0.054417957,0.30841064453125,-1.3241503667086363,0.0003,,
117.94,124,1738,-8.010380000000003,3201632,53,0.7248415648937225,0.6848026514053345,1860,2.5826826645061374,0.2,-0.01319171444629319,0.04317974,0.315185546875,-1.3867549858987331,0.0003,,
,,,,3204544,,0.7100786566734314,0.3347240090370178,1864,1.5799652794376016,0.2,-0.007761717090033926,0.045477465,0.30218505859375,-1.3410997949540615,0.0003,145.2,-13.410400000000001
118.55,123,1788,-8.1021,3205728,54,,,,,,,,,,,,
126.07,123,1817,-9.621239999999998,3209824,55,0.743154376745224,0.6209195852279663,1868,1.5089286351576447,0.2,-0.006781831631087698,0.041399404,0.32684326171875,-1.4912323709577322,0.0003,,
116.63,124,1848,-7.665159999999998,3213920,56,0.6738723814487457,0.7215926647186279,1872,2.163226591423154,0.2,-0.014535901776980609,0.03806171,0.303955078125,-1.3598655741661787,0.0003,,
109.03,124,1878,-5.891159999999998,3218016,57,0.6253722012042999,0.7110175490379333,1876,2.8133541885763407,0.2,-0.015893414893071167,0.04238107,0.29296875,-1.418628653511405,0.0003,,
117.9,124,1908,-7.534800000000001,3222112,58,0.7241072356700897,0.7193812727928162,1880,2.4331279434263706,0.2,-0.01118029176723212,0.045926135,0.292724609375,-1.2276800535619259,0.0003,,
