time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/loss,train/n_updates,train/approx_kl,train/entropy_loss,train/learning_rate,train/explained_variance,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
110,4130,2924544,156.99,-15.7465,218,,,,,,,,,,,,
111,4174,2932736,155.56,-15.471699999999998,217,0.9530696868896484,1428,0.02574858,-1.6863310504704714,0.0003,0.4819398522377014,1.803250340744853,0.279052734375,-0.0064420048274769215,0.2,,
112,4217,2940928,153.31,-14.953800000000001,217,0.8395603895187378,1432,0.025925858,-1.6828499836847186,0.0003,0.5697618424892426,2.1316016810014844,0.26324462890625,-0.006711252772220178,0.2,,
113,4258,2949120,155.14,-15.170200000000001,217,0.5992474555969238,1436,0.02499633,-1.6887115333229303,0.0003,0.5154775083065033,1.9314703335985541,0.28082275390625,-0.010811653944983846,0.2,,
114,4297,2957312,156.82,-15.392299999999999,217,1.1564321517944336,1440,0.022382665,-1.748305811546743,0.0003,0.3897409439086914,2.4460492823272943,0.267730712890625,-0.008381653609831119,0.2,,
115,4337,2965504,156.55,-15.474199999999998,217,0.8448032736778259,1444,0.02413253,-1.7617185106500983,0.0003,0.4146397113800049,2.2219156264327466,0.2740478515625,-0.008119338050164515,0.2,,
,,2973424,,,,1.1899347305297852,1448,0.027626585,-1.6841592555865645,0.0003,0.3173656463623047,2.3296903613954782,0.284912109375,-0.0035686495266418206,0.2,-16.12,160.0
116,4398,2973696,158.07,-15.869300000000003,216,,,,,,,,,,,,
117,4439,2981888,157.38,-15.771399999999998,215,1.3532661199569702,1452,0.025348946,-1.672656507231295,0.0003,0.4206019639968872,2.3366687819361687,0.263427734375,-0.008235439341660822,0.2,,
118,4480,2990080,155.93,-15.448099999999997,215,0.6887515783309937,1456,0.024694301,-1.7426971392706037,0.0003,0.4935442805290222,2.0280310939997435,0.266082763671875,-0.008717067790712463,0.2,,
119,4522,2998272,157.07,-15.736299999999998,215,0.9391406178474426,1460,0.026192533,-1.6558345425873995,0.0003,0.379538893699646,2.157834538258612,0.27508544921875,-0.011715873228240525,0.2,,
120,4561,3006464,158.57,-16.0146,215,0.8529189229011536,1464,0.023320898,-1.6962836533784866,0.0003,0.4696093797683716,2.1498375311493874,0.26214599609375,-0.008503652185027022,0.2,,
121,4600,3014656,154.21,-14.926099999999998,215,1.0926570892333984,1468,0.024181215,-1.6055811997503042,0.0003,0.43018609285354614,2.3697787541896105,0.2666015625,-0.008655490299133817,0.2,,
122,4641,3022848,152.82,-14.570699999999999,215,1.3140002489089966,1472,0.027021104,-1.6097670793533325,0.0003,0.4115617871284485,2.7660624058917165,0.28961181640625,-0.005664811389578972,0.2,,
,,3023424,,,,1.3595064878463745,1476,0.02411893,-1.6743606152012944,0.0003,0.4887368679046631,2.385030564852059,0.26763916015625,-0.009887903215712868,0.2,-16.288,160.0
123,4704,3031040,155.32,-15.186900000000001,214,,,,,,,,,,,,
